conversation_id,tweet_id,created_at,text,clean_text,review_bucket,true_intent,complexity,requires_hitl,hitl_reason,human_notes
69868,2938241,Thu Nov 30 04:30:54 +0000 2017,@AmazonHelp Amazon is the fraud platform don't trust these guys they will hold your amount and will not refund it and made excuses again and again,Amazon is the fraud platform don't trust these guys they will hold your amount and will not refund it and made excuses again and again,BILLING,BILLING,High Stakes Escalation,True,Financial fraud/security dispute requiring account audit and security escalation.,Verified human annotation for AmazonHelp customer tweet.
2668729,2668725,Sun Nov 19 11:13:51 +0000 2017,@AmazonHelp what when I have been scammed £100 on my card and someone also tried to buy a £400 coffee machine so it is ok is it?,what when I have been scammed £100 on my card and someone also tried to buy a £400 coffee machine so it is ok is it?,BILLING,BILLING,High Stakes Escalation,True,Financial fraud/security dispute requiring account audit and security escalation.,Verified human annotation for AmazonHelp customer tweet.
977915,977914,Sat Oct 14 08:07:26 +0000 2017,@AmazonHelp Is ther a definition for price fluctuation?? This is a Price drop! 20% I would hav not even bothered if this even 5% Again feel cheated!,Is ther a definition for price fluctuation?? This is a Price drop! 20% I would hav not even bothered if this even 5% Again feel cheated!,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
1350017,1350016,Sat Nov 25 21:29:37 +0000 2017,"@AmazonHelp That's not what happened! You authorised the full 82 pound, then the card didn't have any more money and you didn't take the authorised amount and tried to charge the card in full again. Same thing with a 27 euro order. The 27 is still sitting there and you took it twice! https://t.co/5432A4W8BW","That's not what happened! You authorised the full 82 pound, then the card didn't have any more money and you didn't take the authorised amount and tried to charge the card in full again. Same thing with a 27 euro order. The 27 is still sitting there and you took it twice!",BILLING,TECHNICAL,High Stakes Escalation,True,Duplicate charge dispute requiring internal financial ledger verification.,"Rule 2 Applied: Device, app, or digital content technical issue."
972684,972684,Sat Oct 14 06:02:20 +0000 2017,Dear @115850 I didn't received the product I ordered after return you are just refunded me my money. I want the same ordered I asked for.,Dear I didn't received the product I ordered after return you are just refunded me my money. I want the same ordered I asked for.,BILLING,SHIPPING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Rule 1 Applied: Primary root cause is non-delivery/carrier issue.
2935760,2935759,Wed Nov 29 12:27:11 +0000 2017,"@AmazonHelp Yes it is fulfilled by Amazon. It’s saying you’ve ‘lost’ it. Offering refund but I don’t want a refund, after staying in 3 days I want item!","Yes it is fulfilled by Amazon. It’s saying you’ve ‘lost’ it. Offering refund but I don’t want a refund, after staying in 3 days I want item!",BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
180253,180240,Wed Oct 04 11:33:08 +0000 2017,@AmazonHelp @115851 Repliyed many times not getting revert odr no is 4__credit_card__ order for canon1300d co no 7078909206 u r refundng on 8th https://t.co/eEGOUpa6eW,Repliyed many times not getting revert odr no is 4__credit_card__ order for canon1300d co no 7078909206 u r refundng on 8th,BILLING,BILLING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Verified human annotation for AmazonHelp customer tweet.
972507,972505,Sun Oct 22 09:20:08 +0000 2017,"@AmazonHelp https://t.co/XRiJN1SoU7 (order visible again after call) and Amazon.de (order still not visible after call, feedback sent)","(order visible again after call) and Amazon.de (order still not visible after call, feedback sent)",BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
1116542,1116542,Tue Oct 24 03:42:42 +0000 2017,when you returned your textbook to @115821 they confirmed you returned it and they still charge your credit card $30!! fucking idiots.,when you returned your textbook to they confirmed you returned it and they still charge your credit card $30!! fucking idiots.,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
905269,905271,Sat Oct 14 05:59:19 +0000 2017,@AmazonHelp Non je ne l'ai pas fait car je devrais vous retournez le produit et les frais de port son a ma charge,Non je ne l'ai pas fait car je devrais vous retournez le produit et les frais de port son a ma charge,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
2938613,2938618,Tue Oct 31 20:25:38 +0000 2017,@AmazonHelp Does super buy have contact information? Do you think they can give a full refund?,Does super buy have contact information? Do you think they can give a full refund?,BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
1702199,1702196,Mon Nov 06 22:04:27 +0000 2017,"@AmazonHelp Days ago, you requested to change my credit card, I did it, and u havent done any charges or anything. Still the same status.","Days ago, you requested to change my credit card, I did it, and u havent done any charges or anything. Still the same status.",BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
555308,555307,Sat Dec 02 20:44:55 +0000 2017,"@115821 Honestly what goes on in your guys’ warehouse? And since customer service isn’t capable of communicating, you know no feedback gets back to the warehouses about it. Ridiculous.","Honestly what goes on in your guys’ warehouse? And since customer service isn’t capable of communicating, you know no feedback gets back to the warehouses about it. Ridiculous.",BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
1336197,1336187,Fri Oct 27 17:32:53 +0000 2017,@AmazonHelp It is already 18 days how can you again ask me to wait more. @AmazonHelp you should Initiate my refund.,It is already 18 days how can you again ask me to wait more. you should Initiate my refund.,BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
102984,102984,Thu Nov 30 18:02:38 +0000 2017,"Amazon customer support continuing to try to process charges onto my account with out my consent. Is this how @115821 supports their customers.
#amazon #badservice https://t.co/kgpAGBXNsY",Amazon customer support continuing to try to process charges onto my account with out my consent. Is this how supports their customers. #amazon #badservice,BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
535141,535141,Sat Dec 02 11:58:56 +0000 2017,@AmazonHelp hello I order a Amazon Gift card it said wait 5 mins and I have been waiting for 2 hours,hello I order a Amazon Gift card it said wait 5 mins and I have been waiting for 2 hours,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
2939250,2939250,Wed Nov 29 12:38:10 +0000 2017,"Brilliant stuff from @AmazonHelp. I pay for Prime, item disappears, no contact at all until I chase today and find out I've been refunded!  Can't wait to tell my nephew he doesn't have a birthday gift","Brilliant stuff from . I pay for Prime, item disappears, no contact at all until I chase today and find out I've been refunded! Can't wait to tell my nephew he doesn't have a birthday gift",BILLING,TECHNICAL,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).","Rule 2 Applied: Device, app, or digital content technical issue."
2279664,2279664,Sat Nov 11 19:32:08 +0000 2017,I didn't receive the cashback for my @115850 order 408-3818892-3103511 paid by SBI CC ending with 2280. Please update.,I didn't receive the cashback for my order 408-3818892-3103511 paid by SBI CC ending with 2280. Please update.,BILLING,SHIPPING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Rule 1 Applied: Primary root cause is non-delivery/carrier issue.
2927712,2927711,Wed Nov 29 05:05:49 +0000 2017,"@AmazonHelp Order was supposed to arrive today by 8PM, after 8PM was changed to Dec 21, order invoice on website has different payment totals from confirmation email. 3 people unable to give an answer after 2.5 hours.","Order was supposed to arrive today by 8PM, after 8PM was changed to Dec 21, order invoice on website has different payment totals from confirmation email. 3 people unable to give an answer after 2.5 hours.",BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
2809405,2809405,Wed Nov 22 05:25:52 +0000 2017,"@AmazonHelp Dear Customer, Promotional Amazon Gift Card ID __credit_card__ of value Rs.100.0 has been linked to your Amazon Pay balance.","Dear Customer, Promotional Amazon Gift Card ID __credit_card__ of value Rs.100.0 has been linked to your Amazon Pay balance.",BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
63811,63811,Thu Nov 30 08:14:58 +0000 2017,"@115821 @AmazonHelp Thankyou very much sir, for ur concern about my problem. As you mailed me for my account details i linked it with my account. Please have a look and talk to ur investigation and bank team to make my refund process fast.","Thankyou very much sir, for ur concern about my problem. As you mailed me for my account details i linked it with my account. Please have a look and talk to ur investigation and bank team to make my refund process fast.",BILLING,BILLING,High Stakes Escalation,True,Financial fraud/security dispute requiring account audit and security escalation.,Verified human annotation for AmazonHelp customer tweet.
1343565,1343565,Fri Oct 27 16:10:33 +0000 2017,Shameless @115850 . sitting over my money .not refunded over 1 month .making nonsense story. Great customer harrasment service @115851,Shameless . sitting over my money .not refunded over 1 month .making nonsense story. Great customer harrasment service,BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
423475,423475,Tue Oct 10 10:26:10 +0000 2017,@115850 od-404-3315100-5772350 taking too long for refund.very tardy&amp; annoying.speed up please.,od-404-3315100-5772350 taking too long for refund.very tardy& annoying.speed up please.,BILLING,BILLING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Verified human annotation for AmazonHelp customer tweet.
1502906,1502902,Fri Nov 03 15:42:32 +0000 2017,"@115821 I feel like because I'm in an apartment they're just like ""eh screw it"" or leave it in the leasing office to get locked in all weekend.","I feel like because I'm in an apartment they're just like ""eh screw it"" or leave it in the leasing office to get locked in all weekend.",BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
343872,343837,Wed Nov 08 12:38:31 +0000 2017,"@AmazonHelp I have been duped by Amazon through ‘Deceptive Labelling’ &amp; ‘False Advertisement’. It is responsibility of Amazon to correct the mistake.

I asked them to collect the Refurbished item &amp; replace it with New item. However, they are simply offering refund which i never soughted for.","I have been duped by Amazon through ‘Deceptive Labelling’ & ‘False Advertisement’. It is responsibility of Amazon to correct the mistake. I asked them to collect the Refurbished item & replace it with New item. However, they are simply offering refund which i never soughted for.",BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
848150,848164,Fri Oct 20 17:58:20 +0000 2017,@AmazonHelp And i am asking to refund those money which is  transfered from my bank account. Not a gift money .,And i am asking to refund those money which is transfered from my bank account. Not a gift money .,BILLING,BILLING,High Stakes Escalation,True,Financial fraud/security dispute requiring account audit and security escalation.,Verified human annotation for AmazonHelp customer tweet.
586813,586806,Sun Dec 03 23:06:47 +0000 2017,@AmazonHelp Yes the charge is on my bank account https://t.co/PUtQGyAHpF,Yes the charge is on my bank account,BILLING,BILLING,High Stakes Escalation,True,Financial fraud/security dispute requiring account audit and security escalation.,Verified human annotation for AmazonHelp customer tweet.
2213198,2213198,Thu Oct 19 14:52:56 +0000 2017,@AmazonHelp I've been charged £7.99 for Amazon prime when I don't even have an Amazon account let alone own Amazon prime?,I've been charged £7.99 for Amazon prime when I don't even have an Amazon account let alone own Amazon prime?,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
849785,849782,Fri Oct 20 15:07:21 +0000 2017,@AmazonHelp Reply a day same old stories then onwards.  Really feeling pathetic and will not do this mistake again of prepayment,Reply a day same old stories then onwards. Really feeling pathetic and will not do this mistake again of prepayment,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
232847,232847,Thu Oct 05 11:41:47 +0000 2017,"Contacted close to 15 agents but no resolved issue,40k blocked been 2 months no refund no support @AmazonHelp @115850 @115851","Contacted close to 15 agents but no resolved issue,40k blocked been 2 months no refund no support",BILLING,BILLING,High Stakes Escalation,True,Financial fraud/security dispute requiring account audit and security escalation.,Verified human annotation for AmazonHelp customer tweet.
2964086,2964086,Wed Nov 29 21:40:25 +0000 2017,"Hey @115821 not really feeling the benefits of Prime. I live in Portland and the last few orders I have made over the past few months have ALL been late. Starting to question the point of paying for Prime. 
Sincerely, Disappointed.","Hey not really feeling the benefits of Prime. I live in Portland and the last few orders I have made over the past few months have ALL been late. Starting to question the point of paying for Prime. Sincerely, Disappointed.",BILLING,TECHNICAL,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).","Rule 2 Applied: Device, app, or digital content technical issue."
403044,711628,Tue Oct 10 21:59:23 +0000 2017,"@AmazonHelp That's ok.  I'll just take a $100,000 gift card to Amazon. That should take away some of the inconvenience.  ;-)","That's ok. I'll just take a $100,000 gift card to Amazon. That should take away some of the inconvenience. ;-)",BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
2930153,2930153,Wed Nov 29 06:20:10 +0000 2017,@118919 @AmazonHelp since more than 1 month I am struggling for my refund no help from customer service LET me know if I need to file complain against payment gateway,since more than 1 month I am struggling for my refund no help from customer service LET me know if I need to file complain against payment gateway,BILLING,BILLING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Verified human annotation for AmazonHelp customer tweet.
866091,866091,Fri Oct 20 17:21:39 +0000 2017,this fake promotion it for u refund me 10 to refund money after product reaching to wear house. with long conversation @115850 https://t.co/977MYOdrrY,this fake promotion it for u refund me 10 to refund money after product reaching to wear house. with long conversation,BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
902432,902431,Sat Oct 14 15:07:14 +0000 2017,@AmazonHelp Thanks for accepting the feedback!,Thanks for accepting the feedback!,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
893164,893164,Tue Oct 10 04:42:00 +0000 2017,So I preordered Turtles All the Way Down 2 months ago &amp; amazon waits to charge it today when I have $.79 in my bank account🙃,So I preordered Turtles All the Way Down 2 months ago & amazon waits to charge it today when I have $.79 in my bank account🙃,BILLING,BILLING,High Stakes Escalation,True,Financial fraud/security dispute requiring account audit and security escalation.,Verified human annotation for AmazonHelp customer tweet.
1300442,1300442,Mon Oct 16 09:13:05 +0000 2017,@AmazonHelp if I recharge from Amazon pay than I will get 8 coupon of 50 rupee in my jio app and also 101 rupees in Amazon pay account,if I recharge from Amazon pay than I will get 8 coupon of 50 rupee in my jio app and also 101 rupees in Amazon pay account,BILLING,TECHNICAL,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,"Rule 2 Applied: Device, app, or digital content technical issue."
270903,270903,Fri Oct 06 01:57:28 +0000 2017,@116618 please tell me how to sign in so my tv knows I have prime. It wants to charge me for all the prime movies that should be free,please tell me how to sign in so my tv knows I have prime. It wants to charge me for all the prime movies that should be free,BILLING,TECHNICAL,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).","Rule 2 Applied: Device, app, or digital content technical issue."
1620624,1620623,Tue Nov 07 17:15:20 +0000 2017,"@AmazonHelp Done. Filled one online feedback form and shared the photos.
Please do the needful.",Done. Filled one online feedback form and shared the photos. Please do the needful.,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
2458419,2458419,Wed Nov 15 05:33:03 +0000 2017,@AmazonHelp you know how hard life is without a smartphone cause it is already been so late i request you to carry on your investigation but refund my money cause i have to buy a new phone .Please help me.,you know how hard life is without a smartphone cause it is already been so late i request you to carry on your investigation but refund my money cause i have to buy a new phone .Please help me.,BILLING,BILLING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Verified human annotation for AmazonHelp customer tweet.
713739,713738,Tue Oct 10 23:05:09 +0000 2017,@AmazonHelp Luckily nothing was missing or damaged. Was just a little surprised that it went out of the warehouse like this.,Luckily nothing was missing or damaged. Was just a little surprised that it went out of the warehouse like this.,SHIPPING,SHIPPING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
1310098,1310099,Sat Oct 28 04:11:32 +0000 2017,@115821 Thanks for ruining my Halloween with your unreliable service I pay $99 a year for. 4th botched/late/undelivered order in 10 weeks,Thanks for ruining my Halloween with your unreliable service I pay $99 a year for. 4th botched/late/undelivered order in 10 weeks,SHIPPING,SHIPPING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
663800,663800,Thu Nov 23 02:10:36 +0000 2017,So much for 2 day free shipping on @115821 when it won’t be delivered on Saturday. Glad I ordered something on Monday that I need before Saturday 🤬🤬🤬🤬,So much for 2 day free shipping on when it won’t be delivered on Saturday. Glad I ordered something on Monday that I need before Saturday 🤬🤬🤬🤬,SHIPPING,SHIPPING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
1380521,1380521,Sat Oct 28 05:13:35 +0000 2017,Surprised &amp; disappointed that @115821 left a package outside my building today. When will @115821 let us choose a shipping method? #amzl👎🏻,Surprised & disappointed that left a package outside my building today. When will let us choose a shipping method? #amzl👎🏻,SHIPPING,TECHNICAL,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,"Rule 2 Applied: Device, app, or digital content technical issue."
671641,671634,Thu Nov 23 10:02:44 +0000 2017,"@AmazonHelp Right, but a.) Why does the page say it can't be shipped to me? and b.) This has happened with multiple items way below size and weight restrictions too, no notice of not being able to ship, just can't.","Right, but a.) Why does the page say it can't be shipped to me? and b.) This has happened with multiple items way below size and weight restrictions too, no notice of not being able to ship, just can't.",SHIPPING,TECHNICAL,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).","Rule 2 Applied: Device, app, or digital content technical issue."
1464282,1464282,Thu Nov 02 18:51:06 +0000 2017,@115850 @AmazonHelp  Order# 408-9863763-1429137 will my order be shipped or not?,Order# 408-9863763-1429137 will my order be shipped or not?,SHIPPING,SHIPPING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Verified human annotation for AmazonHelp customer tweet.
183075,183075,Wed Oct 04 16:36:41 +0000 2017,"@AmazonHelp
Talked regarding delivery delay issue worst experience. Unprofessional cs agent",Talked regarding delivery delay issue worst experience. Unprofessional cs agent,SHIPPING,SHIPPING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Verified human annotation for AmazonHelp customer tweet.
65773,65769,Thu Nov 30 08:33:32 +0000 2017,@AmazonHelp I was provided with none !!!! 😡 but imagine waking up to another message saying we’ve attempted to deliver today and you weren’t available .. I’m still in my pjs ..  😩😩😩 dies someone want to explain to me what I’m paying for with  this prime thingy ???  Furious,I was provided with none !!!! 😡 but imagine waking up to another message saying we’ve attempted to deliver today and you weren’t available .. I’m still in my pjs .. 😩😩😩 dies someone want to explain to me what I’m paying for with this prime thingy ??? Furious,SHIPPING,SHIPPING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
294857,294855,Fri Oct 06 17:52:44 +0000 2017,"@AmazonHelp Sorry but ur reply is no help at all

The email just said it was delivered to number ""xx"" but didn't confirm which road!","Sorry but ur reply is no help at all The email just said it was delivered to number ""xx"" but didn't confirm which road!",SHIPPING,SHIPPING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
1311276,1311275,Sun Nov 05 13:54:19 +0000 2017,@AmazonHelp Amazon logistics. No reason. Ordered yesterday saying delivery today. Email today with dispatch on saying delivery tomorrow,Amazon logistics. No reason. Ordered yesterday saying delivery today. Email today with dispatch on saying delivery tomorrow,SHIPPING,SHIPPING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
710049,710049,Tue Oct 10 21:00:05 +0000 2017,"The only time I receive a package damaged, is when it clearly says ""handle with care"" ""lithium ion battery present"" @115817 @115821 https://t.co/tOBaUpzI0M","The only time I receive a package damaged, is when it clearly says ""handle with care"" ""lithium ion battery present""",SHIPPING,SHIPPING,High Stakes Escalation,True,Safety or high-risk property damage issue requiring human safety team review.,Verified human annotation for AmazonHelp customer tweet.
238149,238125,Tue Sep 26 09:23:00 +0000 2017,@AmazonHelp Subtitles are missing for This is Us,Subtitles are missing for This is Us,SHIPPING,TECHNICAL,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,"Rule 2 Applied: Device, app, or digital content technical issue."
2132867,2132872,Mon Nov 13 01:36:55 +0000 2017,@AmazonHelp really fun new update... says it was delivered Friday? Nope. It’s truly a mystery.,really fun new update... says it was delivered Friday? Nope. It’s truly a mystery.,SHIPPING,TECHNICAL,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,"Rule 2 Applied: Device, app, or digital content technical issue."
1593606,1593606,Tue Oct 17 08:26:57 +0000 2017,@115821 I've got my shipping today: 3 folders 3 parcels. What a waste dudes!! #disappointed https://t.co/GEmk5wmurd,I've got my shipping today: 3 folders 3 parcels. What a waste dudes!! #disappointed,SHIPPING,TECHNICAL,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,"Rule 2 Applied: Device, app, or digital content technical issue."
726764,726764,Wed Oct 11 05:44:46 +0000 2017,@115850....guys need help. Shipment delayed &amp; hasnt arrived even aftr 4 days of order (chose prime for guaranteed one day delivery)....:( https://t.co/uuEh3cg6nF,....guys need help. Shipment delayed & hasnt arrived even aftr 4 days of order (chose prime for guaranteed one day delivery)....:(,SHIPPING,SHIPPING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
979481,979479,Sat Oct 14 09:38:50 +0000 2017,@AmazonHelp The Last Ship S4,The Last Ship S4,SHIPPING,SHIPPING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
1041657,1041660,Tue Nov 21 02:00:46 +0000 2017,@AmazonHelp so should i wait here until 8.  seeing as to how they lied already.  what if they say they will deliver but they won't .  i will be stuck at work for a while,so should i wait here until 8. seeing as to how they lied already. what if they say they will deliver but they won't . i will be stuck at work for a while,SHIPPING,SHIPPING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
2361800,2361800,Mon Nov 13 21:09:13 +0000 2017,"@115821 3 late deliveries in 1 week, what's going on? Not what I expect (or pay for) from Prime!","3 late deliveries in 1 week, what's going on? Not what I expect (or pay for) from Prime!",SHIPPING,SHIPPING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
